epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.553,1.71016,2.04393,1.09195,0.01573,0.97119,0.30642,0.15444,1.37514,3.07357,1.01932,0.00048,0.00048,0.00048
2,238.327,1.58427,1.08782,1.07341,0.0154,0.95062,0.25198,0.13029,1.50145,2.82578,1.08342,0.00088298,0.00088298,0.00088298
3,379.003,1.55177,1.00799,1.06343,0.97754,0.71651,0.88655,0.32133,1.70028,2.15936,1.09569,0.00118696,0.00118696,0.00118696
4,506.074,1.5551,0.94924,1.06214,0.98725,0.95607,0.98906,0.52593,1.34681,1.4332,1.03388,0.00139194,0.00139194,0.00139194
5,614.546,1.46677,0.87982,1.03539,0.97551,0.98343,0.99107,0.50678,1.55068,1.04574,1.10705,0.001208,0.001208,0.001208
6,738.174,1.43974,0.84553,1.02794,0.98993,0.99177,0.99442,0.52834,1.37768,0.81921,1.08099,0.00101,0.00101,0.00101
7,864.492,1.37474,0.7949,1.00795,0.9977,0.98765,0.99496,0.55727,1.29417,0.74492,1.0592,0.000812,0.000812,0.000812
8,966.625,1.34415,0.76659,0.99953,0.9982,0.98354,0.99441,0.58121,1.27377,0.69587,1.04984,0.000614,0.000614,0.000614
9,1068.06,1.3326,0.75166,0.99883,0.99778,0.99177,0.995,0.59997,1.17142,0.65001,1.03159,0.000416,0.000416,0.000416
10,1168.6,1.3176,0.73059,0.99006,0.99347,0.98354,0.99441,0.58327,1.26712,0.67363,1.0431,0.000218,0.000218,0.000218
